StockID,TradeVolume,Transaction,TradeValue,Open,Max,Min,Close,Change,date
05671P,780000,16,85500,0.12,0.12,0.1,0.1,-0.02,2021-03-24
05672P,10000,1,7100,0.71,0.71,0.71,0.71,0.02,2021-03-24
05673P,224000,4,332610,1.49,1.5,1.48,1.49,0.06,2021-03-24
05674P,3000,1,1050,0.35,0.35,0.35,0.35,0.0,2021-03-24
05675P,50000,3,44300,0.87,0.9,0.87,0.89,0.07,2021-03-24
05676P,35000,3,17450,0.49,0.51,0.49,0.51,0.06,2021-03-24
05677P,1026000,48,1773250,1.75,1.77,1.71,1.76,0.07,2021-03-24
05678P,10000,1,6600,0.66,0.66,0.66,0.66,0.0,2021-03-24
05679P,441000,6,695910,1.54,1.61,1.5,1.6,0.05,2021-03-24
05680P,5000,1,3900,0.78,0.78,0.78,0.78,0.0,2021-03-24
05681P,0,0,0,0.0,0.0,0.0,0.0,0.0,2021-03-24
05682P,29000,2,21180,0.72,0.75,0.72,0.75,0.1,2021-03-24
05683P,389000,10,389620,1.0,1.03,0.98,1.03,0.07,2021-03-24
05684P,579000,6,494920,0.89,0.91,0.85,0.85,-0.03,2021-03-24
05685P,0,0,0,0.0,0.0,0.0,0.0,0.0,2021-03-24
05686P,20000,2,15400,0.78,0.78,0.74,0.74,0.18,2021-03-24
05687P,125000,8,109220,0.9,0.91,0.86,0.91,0.07,2021-03-24
05688P,1073000,24,680360,0.63,0.66,0.62,0.65,0.05,2021-03-24
05689P,978000,31,661420,0.72,0.73,0.64,0.66,-0.05,2021-03-24
05690P,0,0,0,0.0,0.0,0.0,0.0,0.0,2021-03-24
05691P,95000,7,86260,0.91,0.92,0.9,0.92,0.04,2021-03-24
05692P,602000,21,209700,0.37,0.37,0.33,0.35,-0.02,2021-03-24
05693P,80000,4,70410,0.91,0.92,0.87,0.87,-0.04,2021-03-24
05694P,0,0,0,0.0,0.0,0.0,0.0,0.0,2021-03-24
05695P,2110000,19,2779800,1.33,1.33,1.29,1.33,-0.03,2021-03-24
05696P,185000,7,201010,1.09,1.09,1.03,1.06,-0.03,2021-03-24
05697P,313000,24,204370,0.68,0.68,0.61,0.62,-0.05,2021-03-24
05698P,0,0,0,0.0,0.0,0.0,0.0,0.0,2021-03-24
05699P,173000,7,148140,0.87,0.87,0.83,0.87,-0.02,2021-03-24
05700P,10000,2,17320,1.75,1.75,1.72,1.72,-0.07,2021-03-24
05701P,110000,2,145000,1.3,1.32,1.3,1.32,0.03,2021-03-24
05702P,1000,1,1210,1.21,1.21,1.21,1.21,0.11,2021-03-24
05703P,3000,1,2730,0.91,0.91,0.91,0.91,0.07,2021-03-24
05704P,116000,3,37880,0.33,0.33,0.32,0.32,0.0,2021-03-24
05705P,889000,23,922850,1.05,1.06,1.0,1.03,0.01,2021-03-24
05706P,70000,5,57190,0.9,0.9,0.78,0.78,-0.05,2021-03-24
05707P,205000,5,180150,0.84,0.89,0.84,0.88,0.07,2021-03-24
05708P,0,0,0,0.0,0.0,0.0,0.0,0.0,2021-03-24
05709P,84000,4,146270,1.72,1.76,1.71,1.75,0.04,2021-03-24
05710P,240000,8,314380,1.33,1.33,1.27,1.29,-0.03,2021-03-24
