StockID,TradeVolume,Transaction,TradeValue,Open,Max,Min,Close,Change,date
0050,5186148,8602,681481755,131.1,132.55,130.6,131.95,0.45,2021-03-25
0051,22577,31,1093121,48.7,48.7,48.28,48.28,-0.12,2021-03-25
0052,1334791,900,163604962,122.0,123.5,121.6,123.0,0.25,2021-03-25
0053,10308,15,668178,64.7,65.4,64.4,64.8,0.1,2021-03-25
0054,8050,7,247837,30.88,30.89,30.75,30.75,-0.07,2021-03-25
0055,112869,85,2178517,19.18,19.38,19.18,19.31,0.16,2021-03-25
0056,9252867,7544,310443167,33.65,33.66,33.4,33.66,0.01,2021-03-25
0057,26000,4,2312500,88.5,89.15,88.2,89.15,0.25,2021-03-25
0061,322445,119,7444845,23.0,23.24,22.97,23.02,0.02,2021-03-25
006203,3000,3,185250,61.5,62.2,61.5,62.2,0.45,2021-03-25
006204,1010,2,80775,80.0,80.0,80.0,80.0,0.0,2021-03-25
006205,1488495,456,55935283,37.6,37.79,37.37,37.7,0.1,2021-03-25
006206,152461,49,5802943,38.35,38.35,37.82,38.1,0.0,2021-03-25
006207,166000,30,4945460,30.2,30.2,29.65,30.0,0.05,2021-03-25
006208,2518846,2626,190774858,75.6,76.2,75.15,75.85,0.25,2021-03-25
00625K,21000,3,180490,8.69,8.69,8.59,8.59,-0.13,2021-03-25
00631L,3537978,1153,384208458,107.85,109.95,107.15,109.25,0.8,2021-03-25
00632R,98601073,6545,618846692,6.3,6.32,6.23,6.26,-0.01,2021-03-25
00633L,11491601,2474,743388566,65.1,65.35,63.7,64.95,0.15,2021-03-25
00634R,687500,104,2777377,4.03,4.07,4.02,4.02,-0.01,2021-03-25
00635U,479706,141,11240183,23.41,23.47,23.39,23.45,0.07,2021-03-25
00636,783629,353,20951948,26.85,27.04,26.57,26.81,-0.04,2021-03-25
00636K,100,1,934,9.34,9.34,9.34,9.34,-0.08,2021-03-25
00637L,52006518,10048,1319183074,25.56,25.65,25.0,25.5,0.02,2021-03-25
00638R,1848000,184,15120190,8.17,8.23,8.14,8.15,-0.02,2021-03-25
00639,1794559,550,28237833,15.86,15.86,15.6,15.8,0.04,2021-03-25
00640L,819000,98,23380320,28.6,28.79,28.31,28.79,0.74,2021-03-25
00641R,889000,141,9609400,10.79,10.85,10.76,10.76,-0.16,2021-03-25
00642U,61603005,5740,637150606,10.42,10.42,10.27,10.3,0.36,2021-03-25
00643,989088,353,16916701,17.14,17.26,16.99,17.22,0.08,2021-03-25
00643K,6000,6,23940,3.98,4.01,3.96,3.99,0.0,2021-03-25
00645,110746,13,2812574,25.34,25.52,25.34,25.52,0.39,2021-03-25
00646,219669,204,7485539,34.01,34.15,34.0,34.11,0.0,2021-03-25
00647L,104000,24,5647750,54.35,54.5,54.2,54.4,-0.2,2021-03-25
00648R,684000,64,5471660,7.99,8.01,7.99,8.0,0.02,2021-03-25
00650L,1217068,190,34805737,28.3,28.84,27.95,28.81,0.24,2021-03-25
00651R,619000,66,4454720,7.25,7.28,7.16,7.17,-0.03,2021-03-25
00652,159875,108,4054410,25.4,25.49,25.22,25.22,-0.28,2021-03-25
00653L,2418204,799,82199598,34.51,34.51,33.51,33.59,-1.07,2021-03-25
00654R,399000,109,3972260,9.89,10.04,9.87,10.02,0.16,2021-03-25
00655L,4388220,1063,210017296,48.08,48.31,47.1,48.04,0.04,2021-03-25
00656R,188000,25,1410990,7.49,7.54,7.46,7.48,0.02,2021-03-25
00657,5000,4,175850,35.07,35.25,35.07,35.25,0.33,2021-03-25
00657K,100,1,1231,12.31,12.31,12.31,12.31,0.04,2021-03-25
00660,121,2,3276,0.0,0.0,0.0,0.0,0.0,2021-03-25
00661,140,1,4970,0.0,0.0,0.0,0.0,0.0,2021-03-25
00662,254400,106,11990326,47.14,47.26,46.95,47.26,-0.66,2021-03-25
00663L,870000,40,84085400,95.95,97.5,95.55,96.9,0.35,2021-03-25
00664R,3530000,403,25162940,7.16,7.18,7.08,7.11,-0.03,2021-03-25
00665L,475000,145,11576320,24.63,24.7,24.03,24.66,-0.23,2021-03-25
00666R,96000,6,1085090,11.39,11.39,11.3,11.3,0.1,2021-03-25
00668,87431,28,2935017,33.51,33.64,33.51,33.62,0.27,2021-03-25
00668K,100,1,1175,11.75,11.75,11.75,11.75,0.06,2021-03-25
00669R,2706000,218,23375960,8.65,8.66,8.62,8.63,-0.05,2021-03-25
00670L,1190265,464,95034758,80.0,80.35,79.3,80.35,-2.55,2021-03-25
00671R,5694000,423,36361880,6.39,6.41,6.37,6.37,0.09,2021-03-25
00673R,1820283,384,34695838,18.89,19.18,18.89,19.14,-0.74,2021-03-25
00674R,145000,35,2013040,13.9,13.9,13.87,13.87,-0.02,2021-03-25
00675L,1171000,225,48587040,41.25,42.0,40.95,41.76,0.39,2021-03-25
00676R,3901000,291,15152040,3.91,3.91,3.86,3.88,-0.02,2021-03-25
00677U,133693508,6262,340428503,2.55,2.6,2.51,2.52,0.02,2021-03-25
00678,124489,69,3397500,27.37,27.37,27.15,27.33,-0.61,2021-03-25
00680L,146000,80,3231590,22.15,22.23,22.0,22.1,-0.2,2021-03-25
00681R,132000,28,1911530,14.43,14.51,14.43,14.48,0.07,2021-03-25
00682U,308475,109,5687363,18.48,18.48,18.42,18.44,0.06,2021-03-25
00683L,2469000,505,43091140,17.51,17.51,17.4,17.44,0.05,2021-03-25
00684R,1000,1,19030,19.03,19.03,19.03,19.03,0.0,2021-03-25
00685L,3000,3,109700,36.52,36.6,36.52,36.6,0.24,2021-03-25
00686R,449000,20,1906660,4.25,4.26,4.21,4.22,-0.01,2021-03-25
00688L,212000,13,4682710,22.19,22.24,22.05,22.12,-0.19,2021-03-25
00689R,207000,13,3153030,15.18,15.27,15.18,15.22,0.08,2021-03-25
00690,40691,22,1263508,30.76,31.1,30.76,31.1,0.34,2021-03-25
00692,1812210,1315,59834871,32.96,33.24,32.82,33.14,0.13,2021-03-25
00693U,870300,237,18950678,21.78,21.81,21.75,21.8,0.08,2021-03-25
00700,145200,19,2816740,19.5,19.5,19.3,19.5,-0.01,2021-03-25
00701,3578943,1019,80011285,22.26,22.43,22.26,22.43,0.17,2021-03-25
00702,15100,5,297626,19.69,19.77,19.69,19.77,0.1,2021-03-25
00703,190753,109,4826436,25.65,25.65,25.07,25.32,-0.45,2021-03-25
00706L,18000,7,295720,16.44,16.44,16.4,16.4,-0.14,2021-03-25
00707R,0,0,0,0.0,0.0,0.0,0.0,0.0,2021-03-25
00708L,1045000,259,26180520,25.0,25.18,24.97,25.12,0.12,2021-03-25
00709,127311,8,2839225,22.28,22.35,22.28,22.29,0.01,2021-03-25
00710B,363463,143,6760777,18.6,18.64,18.56,18.59,-0.01,2021-03-25
00711B,201402,21,4091394,20.22,20.38,20.22,20.38,0.13,2021-03-25
00712,2548278,1101,35588432,13.97,13.99,13.94,13.99,-0.06,2021-03-25
00713,42490,46,1631117,38.35,38.5,38.28,38.5,0.15,2021-03-25
00714,65150,13,1294955,19.85,19.89,19.85,19.85,-0.05,2021-03-25
00715L,183649267,10380,1219202457,6.69,6.73,6.56,6.6,0.44,2021-03-25
00717,1458475,357,24802697,16.95,17.04,16.95,17.04,0.11,2021-03-25
00728,785904,440,21142570,26.73,27.1,26.73,27.02,0.2,2021-03-25
00730,557967,179,11386497,20.39,20.45,20.33,20.44,0.05,2021-03-25
00731,285668,29,15252902,53.1,53.5,53.1,53.4,0.3,2021-03-25
00732,100000,2,3991000,39.91,39.91,39.91,39.91,0.05,2021-03-25
00733,294180,95,9552824,32.81,33.11,32.1,32.21,-0.6,2021-03-25
00735,189571,21,6313018,33.16,33.5,33.03,33.25,0.05,2021-03-25
00736,103000,6,2377370,22.97,23.17,22.97,23.11,-0.1,2021-03-25
00737,254925,174,8174747,32.08,32.15,31.98,32.15,-0.47,2021-03-25
00738U,1239302,421,32452990,26.19,26.27,26.09,26.26,-0.04,2021-03-25
00739,272609,60,7357126,26.98,27.1,26.76,27.02,0.04,2021-03-25
00742,99573,24,2110803,21.15,21.26,21.1,21.26,0.11,2021-03-25
00743,6435,8,178273,27.78,27.87,27.61,27.87,0.09,2021-03-25
00752,5167588,3395,154562872,30.33,30.33,29.73,29.98,-0.52,2021-03-25
